               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11491,             0.02683,                   0,           0.0018182,                0.24,           0.0017706,          0.00054915,            0.099454,            0.020035,                   0,              0.0802,              0.0022,              0.0022
                   1,            0.095394,            0.020859,                   0,           0.0018333,                0.55,            0.011264,           0.0028109,            0.091272,            0.015765,                   0,            0.059411,           0.0044109,           0.0044109
                   2,            0.082836,            0.020748,                   0,             0.49684,            0.049431,             0.11618,            0.027826,             0.07341,             0.01535,                   0,            0.038531,           0.0065307,           0.0065307
                   3,             0.06953,            0.021025,                   0,              0.2653,                0.09,            0.074898,            0.023358,            0.088234,            0.011067,                   0,            0.017559,           0.0085595,           0.0085595
                   4,            0.067633,            0.021276,                   0,             0.35014,               0.194,             0.16293,            0.057987,            0.065644,            0.014032,                   0,            0.009208,            0.009208,            0.009208
                   5,            0.060055,            0.021228,                   0,             0.27122,             0.29029,             0.12773,            0.044381,            0.063011,            0.014176,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.059794,            0.019842,                   0,             0.28632,                0.27,              0.2144,            0.086041,            0.057389,            0.014848,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.054269,            0.019208,                   0,             0.27649,             0.37834,             0.23007,             0.10818,            0.054684,            0.015287,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.051463,            0.019577,                   0,             0.37931,                 0.4,             0.28369,             0.12243,             0.05353,            0.014203,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.049866,            0.018943,                   0,             0.32862,                0.39,             0.24351,             0.10591,            0.054112,            0.013976,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.048479,            0.017622,                   0,             0.46971,             0.46945,             0.37092,             0.18234,            0.050189,            0.013917,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.047088,            0.017851,                   0,             0.49565,                0.48,             0.37161,              0.1933,             0.04935,            0.013883,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.045075,            0.017785,                   0,             0.45673,                0.42,             0.35624,             0.20736,            0.051234,            0.013631,                   0,            0.007822,            0.007822,            0.007822
